zeta,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.250000,float,1.521374481e-05,  2.2636916e-05,5.759272176e-05,1.394262678e-05,4.941498441e-05,3.688382191e-05,0.0001434199773,3.667725471e-05,1.516677432e-05,4.889243872e-05,  0.01128558772
0.250000,peg,1.289143949e-05,1.760596777e-05, 0.005125081778,2.205351709e-05,0.0002297444858, 0.003786685771,0.0008251623189,4.324989503e-05,1.224670552e-05,0.0002427335616,  0.01671886772
0.250000,managed,4.563769173e-06,6.704487532e-06,0.0001732087065,1.556911192e-05,3.394941966e-05,0.0002452192718,0.0001011752954, 1.77351136e-05,4.881282058e-06,4.716913974e-05,  0.01249155554
0.500000,float,1.494965128e-05,2.360203483e-05,6.125026352e-05,1.349764794e-05,5.342322167e-05, 3.72127223e-05,0.0001421705774,3.634371547e-05,1.490393779e-05,4.977088548e-05,   0.0129621563
0.500000,peg,1.245177539e-05,1.693090545e-05, 0.004899277961,2.119314237e-05,0.0002137097392, 0.003654374502,0.0007918895487,4.160943172e-05,1.186987909e-05,0.0002398152987,   0.0186967788
0.500000,managed,4.554270974e-06,7.390785033e-06,0.0001627729566,1.502093407e-05,3.539878667e-05,0.0002386163288,0.0001007181811,1.779345107e-05,4.869274992e-06,4.830392698e-05,  0.01422769717
0.750000,float,1.480101649e-05,2.427227614e-05,6.359885644e-05,1.321845464e-05,5.605702199e-05,  3.7441889e-05,0.0001414391023,3.615777096e-05,1.475587743e-05,5.035939002e-05,  0.01408730836
0.750000,peg,1.219177512e-05,1.655464447e-05, 0.004764298596,2.066223309e-05,0.0002045671547, 0.003573979097,0.0007717159004,4.062728693e-05,1.164763238e-05,0.0002379701816,  0.01999757356
0.750000,managed,4.548416288e-06,7.866634124e-06,0.0001569221812,1.467934288e-05,3.660219947e-05,0.0002343887374,0.0001004415848,1.782934762e-05,4.861916029e-06,4.901160094e-05,  0.01538658527
1.000000,float,1.469858384e-05,2.479861854e-05,6.536123787e-05,1.301156693e-05,5.805410399e-05,3.761953167e-05,0.0001409223418,3.603064868e-05,1.465377197e-05,5.081131802e-05,  0.01495881876
1.000000,peg,1.200657775e-05,1.629902798e-05, 0.004667459396,2.027267644e-05,0.0001982219875, 0.003515643949,0.0007571044523,3.992181011e-05,1.148961871e-05,0.0002365943879,  0.02099272492
1.000000,managed, 4.54411593e-06,8.240695998e-06,0.0001529229724,1.442730208e-05,3.762332113e-05,0.0002312225656,0.0001002422252, 1.78555675e-05,4.856536329e-06,4.953224544e-05,  0.01628133498
1.500000,float,1.455886849e-05,2.561558543e-05, 6.79815878e-05,1.270739148e-05,6.104431512e-05,3.788899119e-05,0.0001402003756,3.585897431e-05,1.451439651e-05,5.149704192e-05,  0.01630109157
1.500000,peg,1.174519134e-05,1.595847402e-05, 0.004529752303,1.970525781e-05,0.0001895200988, 0.003431673408,0.0007361155814,3.891715917e-05,1.126704299e-05,0.0002345554788,   0.0225070391
1.500000,managed,4.537832763e-06,8.822651531e-06,0.0001475461056,1.405831749e-05,3.930401161e-05,0.0002265237116,9.995813968e-05,1.789351304e-05, 4.84872097e-06,5.029027081e-05,  0.01765514724
2.000000,float,1.446323721e-05,2.625044205e-05, 6.99374364e-05,1.248257651e-05,6.328485269e-05,3.809213861e-05,0.0001396946781,3.574286868e-05,1.441891673e-05,5.201800477e-05,  0.01734175233
2.000000,peg,1.155994251e-05,1.573342432e-05, 0.004431390522,1.928955626e-05,0.0001835438616,  0.00337091395,0.0007209643007,3.819837254e-05,1.110963682e-05,0.0002330341803,  0.02366758102
2.000000,managed,4.533205752e-06,9.276390937e-06,0.0001439446653,1.378674519e-05,4.066954116e-05,0.0002230222798,9.975545809e-05,1.792108068e-05,4.843003623e-06,5.084374211e-05,  0.01871716179
2.500000,float,1.439114304e-05,2.677532556e-05,7.150911996e-05, 1.23030865e-05,6.508636615e-05,3.825557725e-05, 0.000139307387,3.565624415e-05,1.434688746e-05,5.244141944e-05,   0.0182037565
2.500000,peg, 1.14166237e-05,1.556979057e-05, 0.004354836088,1.895970596e-05,0.0001790357945,  0.00332314498,0.0007090743051,3.763816678e-05,1.098806349e-05,0.0002318092924,  0.02462100128
2.500000,managed,4.529513962e-06,9.652681474e-06, 0.000141289142,1.357058822e-05,4.182735998e-05,0.0002202112847,9.959817563e-05,1.794279702e-05,4.838466894e-06,5.128095103e-05,  0.01959505988
