theta,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,float,3.488106216e-05,5.056144056e-05,6.159178995e-05,7.325668332e-07,9.521758297e-06,3.828073821e-05,0.0001387635992,8.10058664e-05,3.436124894e-05,0.0001027217591,0.02430084841
0.000000,peg,4.001236473e-05,5.655218793e-05,0.001016993441,4.860281752e-06,0.0001034584483,0.0004237757418,0.0009746962506,0.0002700910838,3.214349131e-05,0.0002293095993,0.02701651527
0.000000,managed,7.65382001e-06,1.114052693e-05,4.494119075e-05,5.221294384e-07,7.157841313e-06,3.555236918e-05,8.747734768e-05,3.947608399e-05,7.840267861e-06,6.658120361e-05,0.02510807501
0.250000,float,3.334475839e-05,4.972178919e-05,5.658389336e-05,6.687655604e-07,9.002463849e-06,3.73422354e-05,0.0001413600832,7.878697674e-05,3.285684306e-05,9.642000181e-05,0.02375561632
0.250000,peg,4.413798104e-05,6.067703189e-05,0.001066878396,5.915821865e-06,0.000111289763,0.0004283227748,0.0009625797961,0.0002912030889,3.553156001e-05,0.0002308387668,0.02588451027
0.250000,managed,7.796653794e-06,1.123283478e-05,4.364074879e-05,5.530655595e-07,7.198180002e-06,3.415528026e-05,8.451734995e-05,3.988279424e-05,7.959032732e-06,6.278388606e-05,0.02438060093
0.500000,float,3.183259608e-05,4.894772122e-05,5.199674504e-05,6.569457999e-07,8.514929295e-06,3.674000132e-05,0.0001450380671,7.651911719e-05,3.138311658e-05,9.019481999e-05,0.0231329779
0.500000,peg,4.892533954e-05,6.537088174e-05,0.001122291444,7.25026834e-06,0.0001201044591,0.0004334148319,0.0009502504573,0.0003153302219,3.948610505e-05,0.0002325623437,0.02464978699
0.500000,managed,8.04800854e-06,1.138544389e-05,4.276946306e-05,6.624733142e-07,7.307758822e-06,3.292121312e-05,8.207529614e-05,4.048120414e-05,8.185026658e-06,5.902451212e-05,0.02356939042
0.750000,float,3.035456742e-05,4.825488523e-05,4.784043061e-05,7.052033772e-07,8.06025605e-06,3.65092302e-05,0.0001499523013,7.421316058e-05,2.995026534e-05,8.406271663e-05,0.02243382068
0.750000,peg,5.450347179e-05,7.073328029e-05,0.001183956171,8.919793004e-06,0.0001300613112,0.000439048918,0.0009375240985,0.0003430159293,4.411957397e-05,0.000234494186,0.02331417888
0.750000,managed,8.433045964e-06,1.161321408e-05,4.231180643e-05,8.638007104e-07,7.491731608e-06,3.184768545e-05,8.023549876e-05,4.131499237e-05,8.542905081e-06,5.531227203e-05,0.02267585019
1.000000,float,2.892434161e-05,4.766345702e-05,4.412696065e-05,8.234054349e-07,7.639636897e-06,3.669329613e-05,0.0001562920187,7.188423901e-05,2.85722058e-05,7.804633739e-05,0.02165943261
1.000000,peg,6.103241079e-05,7.688603372e-05,0.001252744155,1.09947428e-05,0.0001413537835,0.0004452238407,0.0009242060116,0.0003749289548,4.957175771e-05,0.0002366507155,0.02188035651
1.000000,managed,8.982804602e-06,1.193446451e-05,4.224825267e-05,1.173480161e-06,7.755807445e-06,3.093563294e-05,7.911031264e-05,4.243706402e-05,9.063157931e-06,5.165987014e-05,0.02170189161
1.250000,float,2.756023787e-05,4.719928301e-05,4.087059686e-05,1.023458278e-06,7.254313393e-06,3.734558168e-05,0.0001642869677,6.955276069e-05,2.726756122e-05,7.217569827e-05,0.02081158916
1.250000,peg,6.871232234e-05,8.397940365e-05,0.001329714315,1.356381099e-05,0.0001542197117,0.0004519407116,0.0009100867076,0.0004118990815,5.601790675e-05,0.0002390514778,0.0203521299
1.250000,managed,9.73563141e-06,1.237180758e-05,4.255421056e-05,1.611517604e-06,8.106273117e-06,3.019061079e-05,7.884609505e-05,4.391157109e-05,9.78354162e-06,4.808432068e-05,0.02065004526
1.500000,float,2.628642047e-05,4.689527729e-05,3.808829671e-05,1.319618592e-06,6.905521277e-06,3.853170677e-05,0.0001742147643,6.72456108e-05,2.606087645e-05,6.648963292e-05,0.01989266048
1.500000,peg,7.779588622e-05,9.220040789e-05,0.001416165116,1.673973808e-05,0.0001689542907,0.000459203781,0.000894936966,0.0004549652597,6.367975554e-05,0.0002417198734,0.01873486849
1.500000,managed,1.073899564e-05,1.295319949e-05,4.319874279e-05,2.202221897e-06,8.550009918e-06,2.962441125e-05,7.963088706e-05,4.581642035e-05,1.0750897e-05,4.460795223e-05,0.01952360183
