kappa,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.250000,float,2.375071658e-05,4.077244663e-05,4.179583958e-05,5.625972904e-07,7.523246869e-06,3.060334678e-05,0.000108822892,6.005872894e-05,2.372768509e-05,5.877856268e-05,0.01801662328
0.250000,peg,9.100331109e-05,0.0001189494153,0.001324785807,7.928568301e-06,0.0001596041036,0.0004929703776,0.002081943071,0.0006260455357,7.091433559e-05,0.0002465408178,0.01603650865
0.250000,managed,1.355546533e-05,1.305507896e-05,3.78454866e-05,5.091123311e-07,7.517705576e-06,3.149516807e-05,0.0001420659581,6.786666569e-05,1.270818123e-05,4.187264245e-05,0.01745834915
0.500000,float,2.479731995e-05,4.246652086e-05,4.103897375e-05,5.289577587e-07,7.391023386e-06,3.222904894e-05,0.0001184857167,6.226802732e-05,2.47131091e-05,6.453163273e-05,0.01934040011
0.500000,peg,7.908115024e-05,0.0001022039219,0.001297567663,8.718495812e-06,0.000152457888,0.0004754440394,0.001592496765,0.0005247554325,6.245964518e-05,0.0002428696107,0.01807939597
0.500000,managed,1.145590919e-05,1.224894059e-05,3.869912073e-05,5.775128537e-07,7.466199341e-06,3.108325801e-05,0.00010566239,5.596063619e-05,1.10397546e-05,4.485936856e-05,0.01897395745
0.750000,float,2.657820025e-05,4.481882498e-05,4.188883721e-05,6.287100682e-07,7.440146031e-06,3.427477735e-05,0.0001350516507,6.639979747e-05,2.63780787e-05,7.100675057e-05,0.0205576182
0.750000,peg,6.922765021e-05,8.837020624e-05,0.001273595108,9.766293813e-06,0.0001464317033,0.0004595546557,0.001215130954,0.0004423455298,5.543911977e-05,0.0002395827251,0.02003428274
0.750000,managed,9.978254616e-06,1.191387357e-05,4.017247278e-05,8.152800707e-07,7.552876788e-06,3.088898761e-05,8.610483046e-05,4.77720027e-05,9.861117055e-06,4.814284934e-05,0.02039265882
1.000000,float,2.892434161e-05,4.766345702e-05,4.412696065e-05,8.234054349e-07,7.639636897e-06,3.669329613e-05,0.0001562920187,7.188423901e-05,2.85722058e-05,7.804633739e-05,0.02165943261
1.000000,peg,6.103241079e-05,7.688603372e-05,0.001252744155,1.09947428e-05,0.0001413537835,0.0004452238407,0.0009242060116,0.0003749289548,4.957175771e-05,0.0002366507155,0.02188035651
1.000000,managed,8.982804602e-06,1.193446451e-05,4.224825267e-05,1.173480161e-06,7.755807445e-06,3.093563294e-05,7.911031264e-05,4.243706402e-05,9.063157931e-06,5.165987014e-05,0.02170189161
1.500000,float,3.483910916e-05,5.437447873e-05,5.21560648e-05,1.397109231e-06,8.406861724e-06,4.250048403e-05,0.0002065763292,8.53199428e-05,3.412603045e-05,9.337803697e-05,0.02349163241
1.500000,peg,4.841023306e-05,5.929016787e-05,0.00122014595,1.380174254e-05,0.0001335536702,0.0004209382488,0.0005291043587,0.000273739651,4.046869342e-05,0.0002317548478,0.02518547382
1.500000,managed,8.031347408e-06,1.270709218e-05,4.82703746e-05,2.122912701e-06,8.461207486e-06,3.18143766e-05,9.049327236e-05,3.779838171e-05,8.291824469e-06,5.921747067e-05,0.0239542491
2.000000,float,4.189059862e-05,6.199281912e-05,6.425997018e-05,2.119676142e-06,9.580398302e-06,4.942511891e-05,0.0002607436759,0.000100376935,4.079393927e-05,0.0001099377518,0.02480137256
2.000000,peg,3.93972226e-05,4.686378112e-05,0.001199592624,1.690571397e-05,0.000128349855,0.0004020506519,0.0003016029926,0.0002042371296,3.390095857e-05,0.0002280238648,0.02790464428
2.000000,managed,8.000713856e-06,1.40775778e-05,5.703816882e-05,3.25969488e-06,9.532883819e-06,3.380796864e-05,0.0001219384909,3.829914369e-05,8.257956e-06,6.728789025e-05,0.02567456566
2.500000,float,4.976624455e-05,7.02575588e-05,7.996701807e-05,2.935840584e-06,1.110408371e-05,5.733616516e-05,0.0003145852749,0.0001159733912,4.829757634e-05,0.0001274872309,0.02557066628
2.500000,peg,3.284551453e-05,3.796857535e-05,0.001191336555,2.023286547e-05,0.0001253421436,0.0003881422107,0.0001792414397,0.0001558641384,2.907643734e-05,0.0002253460867,0.02998243337
2.500000,managed,8.533835268e-06,1.576747022e-05,6.895090643e-05,4.515696869e-06,1.097171497e-05,3.697075017e-05,0.0001632739801,4.170471167e-05,8.684140042e-06,7.575611572e-05,0.02682935231
