piDC,PIC,y_gap,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3
-0.0014031,-0.0014519,0.00080466,-4.3065e-05,-0.0050619,-0.0011388,0.0001608,-0.0017195,0.00043858,0.0024126,0.00079831,-3.0068e-05,0.0027249,-5.9742e-05,-0.007497,-0.0017428
-0.001293,-0.0014628,0.00093809,-0.0012775,-0.0028273,-0.001179,-0.0015328,-0.0014854,0.00078524,-0.00026814,0.00068406,2.2848e-05,0.0024779,-0.001832,-0.011684,-0.0035471
-0.0011801,-0.0012595,0.00096208,-0.001387,-0.0016588,-0.0011433,-0.0029876,-0.0013021,0.0010578,-0.0025757,0.00058739,6.2013e-05,0.0022603,-0.003756,-0.014141,-0.0052968
-0.0010711,-0.0010994,0.0009285,-0.0012668,-0.0010317,-0.0010729,-0.0042555,-0.0011539,0.0012704,-0.0045907,0.00050399,8.9538e-05,0.0020648,-0.0055134,-0.015669,-0.0069387
-0.00096904,-0.00097046,0.00086803,-0.0011225,-0.00068634,-0.00098919,-0.0053724,-0.0010298,0.0014339,-0.0063701,0.00043148,0.00010877,0.0018876,-0.0070706,-0.016686,-0.0084525
-0.00087512,-0.00086314,0.00079741,-0.00099387,-0.00049015,-0.00090307,-0.0063633,-0.00092321,0.0015567,-0.0079534,0.00036826,0.00012219,0.0017263,-0.0084493,-0.017412,-0.0098345
-0.00078946,-0.00077138,0.00072527,-0.00088392,-0.00037387,-0.00081983,-0.0072462,-0.00082986,0.0016455,-0.0093689,0.00031308,0.00013144,0.0015793,-0.0096756,-0.017966,-0.011089
-0.00071175,-0.0006914,0.00065587,-0.0007894,-0.00030104,-0.00074184,-0.0080348,-0.00074715,0.0017058,-0.010638,0.00026494,0.00013759,0.0014451,-0.010771,-0.018411,-0.012224
-0.00064145,-0.0006208,0.00059111,-0.00070701,-0.0002523,-0.00067002,-0.0087404,-0.00067336,0.0017421,-0.011778,0.00022298,0.00014134,0.0013225,-0.011751,-0.018785,-0.01325
-0.00057799,-0.000558,0.00053167,-0.00063438,-0.00021731,-0.00060449,-0.0093722,-0.00060722,0.0017583,-0.012802,0.00018646,0.00014319,0.0012105,-0.012631,-0.019107,-0.014175
-0.00052075,-0.00050186,0.00047762,-0.00056985,-0.00019052,-0.00054502,-0.0099381,-0.00054779,0.0017579,-0.013724,0.00015472,0.00014353,0.0011081,-0.013422,-0.019389,-0.015009
-0.00046915,-0.00045153,0.00042874,-0.00051222,-0.00016889,-0.00049123,-0.010445,-0.00049429,0.0017437,-0.014554,0.00012718,0.00014264,0.0010145,-0.014133,-0.019639,-0.015761
-0.00042265,-0.00040634,0.00038467,-0.0004606,-0.00015072,-0.00044265,-0.0109,-0.0004461,0.0017182,-0.0153,0.00010336,0.00014076,0.00092891,-0.014771,-0.019862,-0.016438
-0.00038076,-0.00036573,0.00034502,-0.00041427,-0.00013505,-0.00039884,-0.011307,-0.00040266,0.0016835,-0.015972,8.279e-05,0.00013808,0.00085064,-0.015346,-0.020062,-0.017048
-0.00034302,-0.00032919,0.00030938,-0.00037265,-0.0001213,-0.00035934,-0.011672,-0.00036348,0.0016415,-0.016578,6.5086e-05,0.00013477,0.00077904,-0.015863,-0.020242,-0.017598
-0.00030903,-0.00029632,0.00027737,-0.00033524,-0.00010911,-0.00032375,-0.011999,-0.00032814,0.0015937,-0.017122,4.9894e-05,0.00013096,0.00071355,-0.016328,-0.020404,-0.018094
-0.00027841,-0.00026675,0.00024863,-0.0003016,-9.8231e-05,-0.00029168,-0.012292,-0.00029626,0.0015416,-0.017613,3.6905e-05,0.00012677,0.00065363,-0.016747,-0.020549,-0.01854
-0.00025083,-0.00024012,0.00022284,-0.00027134,-8.8483e-05,-0.00026279,-0.012554,-0.0002675,0.0014862,-0.018055,2.5844e-05,0.00012229,0.0005988,-0.017123,-0.02068,-0.018942
-0.00022599,-0.00021616,0.0001997,-0.00024411,-7.9727e-05,-0.00023676,-0.01279,-0.00024155,0.0014286,-0.018452,1.647e-05,0.00011762,0.00054862,-0.017462,-0.020798,-0.019305
-0.00020361,-0.00019459,0.00017894,-0.00021962,-7.1853e-05,-0.00021332,-0.013,-0.00021813,0.0013696,-0.018811,8.5673e-06,0.00011282,0.0005027,-0.017766,-0.020905,-0.019631
-0.00018345,-0.00017518,0.00016031,-0.00019759,-6.4765e-05,-0.0001922,-0.013189,-0.00019699,0.0013099,-0.019133,1.9474e-06,0.00010795,0.00046067,-0.01804,-0.021001,-0.019925
-0.00016529,-0.0001577,0.00014361,-0.00017776,-5.8382e-05,-0.00017317,-0.013357,-0.00017792,0.0012501,-0.019424,-3.557e-06,0.00010306,0.00042219,-0.018287,-0.021087,-0.02019
-0.00014894,-0.00014197,0.00012862,-0.00015993,-5.2631e-05,-0.00015603,-0.013509,-0.0001607,0.0011906,-0.019685,-8.093e-06,9.8199e-05,0.00038696,-0.018509,-0.021165,-0.020429
-0.0001342,-0.00012781,0.00011519,-0.00014388,-4.745e-05,-0.0001406,-0.013644,-0.00014516,0.001132,-0.019921,-1.179e-05,9.3394e-05,0.00035471,-0.018708,-0.021235,-0.020644
-0.00012093,-0.00011506,0.00010314,-0.00012944,-4.2781e-05,-0.00012669,-0.013765,-0.00013113,0.0010744,-0.020133,-1.4763e-05,8.8675e-05,0.00032517,-0.018888,-0.021299,-0.020838
-0.00010897,-0.00010359,9.2341e-05,-0.00011645,-3.8573e-05,-0.00011416,-0.013873,-0.00011847,0.0010183,-0.020324,-1.7112e-05,8.4064e-05,0.00029812,-0.01905,-0.021356,-0.021013
-9.8196e-05,-9.3256e-05,8.2659e-05,-0.00010476,-3.4781e-05,-0.00010287,-0.01397,-0.00010704,0.00096367,-0.020496,-1.8925e-05,7.9579e-05,0.00027335,-0.019195,-0.021407,-0.02117
-8.8491e-05,-8.3956e-05,7.398e-05,-9.4244e-05,-3.1363e-05,-9.2706e-05,-0.014057,-9.6714e-05,0.00091082,-0.02065,-2.028e-05,7.5234e-05,0.00025065,-0.019326,-0.021454,-0.021312
-7.9747e-05,-7.5584e-05,6.6202e-05,-8.4782e-05,-2.8282e-05,-8.3546e-05,-0.014134,-8.7394e-05,0.00085984,-0.02079,-2.1243e-05,7.1039e-05,0.00022986,-0.019443,-0.021496,-0.02144
-7.187e-05,-6.8048e-05,5.9231e-05,-7.627e-05,-2.5504e-05,-7.5292e-05,-0.014204,-7.8979e-05,0.00081079,-0.020915,-2.1875e-05,6.7002e-05,0.00021081,-0.019549,-0.021534,-0.021555
-6.4772e-05,-6.1263e-05,5.2985e-05,-6.8612e-05,-2.3001e-05,-6.7856e-05,-0.014266,-7.1379e-05,0.00076375,-0.021029,-2.2226e-05,6.3127e-05,0.00019336,-0.019644,-0.021568,-0.021659
-5.8377e-05,-5.5155e-05,4.7389e-05,-6.1722e-05,-2.0744e-05,-6.1157e-05,-0.014321,-6.4517e-05,0.00071873,-0.02113,-2.2343e-05,5.9417e-05,0.00017737,-0.01973,-0.021598,-0.021753
-5.2615e-05,-4.9657e-05,4.2376e-05,-5.5523e-05,-1.8709e-05,-5.512e-05,-0.014371,-5.8318e-05,0.00067574,-0.021222,-2.2264e-05,5.5873e-05,0.00016271,-0.019807,-0.021626,-0.021837
-4.7424e-05,-4.4707e-05,3.7886e-05,-4.9947e-05,-1.6875e-05,-4.9681e-05,-0.014415,-5.272e-05,0.00063478,-0.021305,-2.2023e-05,5.2495e-05,0.00014928,-0.019876,-0.021651,-0.021913
-4.2746e-05,-4.0251e-05,3.3865e-05,-4.4929e-05,-1.5221e-05,-4.478e-05,-0.014454,-4.7663e-05,0.00059582,-0.021379,-2.165e-05,4.9281e-05,0.00013697,-0.019938,-0.021674,-0.021982
-3.8531e-05,-3.6239e-05,3.0264e-05,-4.0416e-05,-1.373e-05,-4.0364e-05,-0.01449,-4.3095e-05,0.00055883,-0.021446,-2.117e-05,4.6229e-05,0.00012568,-0.019995,-0.021694,-0.022043
-3.4732e-05,-3.2627e-05,2.704e-05,-3.6355e-05,-1.2386e-05,-3.6385e-05,-0.014521,-3.8968e-05,0.00052376,-0.021507,-2.0606e-05,4.3333e-05,0.00011533,-0.020045,-0.021712,-0.022099
-3.1309e-05,-2.9376e-05,2.4154e-05,-3.2702e-05,-1.1174e-05,-3.2799e-05,-0.014549,-3.5239e-05,0.00049055,-0.021561,-1.9976e-05,4.0592e-05,0.00010584,-0.02009,-0.021729,-0.022149
-2.8225e-05,-2.6449e-05,2.1571e-05,-2.9416e-05,-1.0081e-05,-2.9567e-05,-0.014574,-3.187e-05,0.00045916,-0.02161,-1.9296e-05,3.7999e-05,9.714e-05,-0.020131,-0.021744,-0.022194
-2.5445e-05,-2.3814e-05,1.926e-05,-2.6459e-05,-9.0952e-06,-2.6655e-05,-0.014597,-2.8826e-05,0.00042952,-0.021654,-1.858e-05,3.555e-05,8.9161e-05,-0.020168,-0.021757,-0.022235
