regime,i,j,cov
float,1,1,1.820165154e-06
float,1,2,5.134939733e-06
float,1,3,2.276679307e-07
float,2,1,5.134939733e-06
float,2,2,0.0001808559909
float,2,3,2.785394565e-05
float,3,1,2.276679307e-07
float,3,2,2.785394565e-05
float,3,3,0.000201392161
peg,1,1,1.389363932e-05
peg,1,2,6.38279231e-05
peg,1,3,0.0001065425634
peg,2,1,6.38279231e-05
peg,2,2,0.0005745772663
peg,2,3,0.0008516752083
peg,3,1,0.0001065425634
peg,3,2,0.0008516752083
peg,3,3,0.001848654286
managed,1,1,1.455517897e-06
managed,1,2,1.132335305e-06
managed,1,3,-7.990524768e-07
managed,2,1,1.132335305e-06
managed,2,2,0.000122361677
managed,2,3,-1.411302793e-05
managed,3,1,-7.990524768e-07
managed,3,2,-1.411302793e-05
managed,3,3,0.0002136999797
