rho,regime,sector1,sector2,sector3
0.0,float,0.07003812247115791,4.121384612609407,16.919637467933107
0.0,peg,0.5626072964956764,5.908050077213113,15.5164866315063
0.0,managed,0.03338875434942493,1.9283530141481038,6.463569699760424
0.5,float,0.05663119735949605,3.8468903116782562,17.676937481613614
0.5,peg,0.4078384427901084,5.165783066877514,15.665264860345902
0.5,managed,0.03423887385354719,1.868681192919514,6.467883741780639
1.0,float,0.04987007879613894,3.870117156292537,20.30525225901826
1.0,peg,0.26788610882123687,4.285066196790719,15.887367326043176
1.0,managed,0.0354696789348474,1.9161893437695385,6.713939447156257
1.5,float,0.0484386452978154,4.2675583065358245,25.36589665543162
1.5,peg,0.15092441437716658,3.3363653607196584,16.221315682930147
1.5,managed,0.037181772672321714,2.116866608195479,7.395219250425013
2.0,float,0.05039490221079608,5.046162443539446,33.128434424229305
2.0,peg,0.06817718584768855,2.4792478954962323,16.73757019935448
2.0,managed,0.03981625861156841,2.5403407750128637,8.91397974842929
2.2,float,0.051792874895691364,5.450602005418563,36.9712478769764
2.2,peg,0.048323317714426516,2.2343089399246208,17.015220210568593
2.2,managed,0.04135342616586211,2.7932755425414904,9.922619235677903
