rho,regime,output_gap,price_disp_sector1,price_disp_sector2,price_disp_sector3,price_disp_total,total
0.0,float,3.4702822335e-05,1.3206008977653158e-05,6.675883898361763e-05,0.0005516343846227711,0.0006315992325840419,0.0006663020549190419
0.25,float,3.8728296254999996e-05,1.5678457234804395e-05,9.030608789061982e-05,0.0005941263415262619,0.0007001108866516861,0.0007388391829066861
0.5,float,4.5026995755e-05,1.9693772579369717e-05,0.00011857512235333328,0.0006919264519022642,0.0008301953468349673,0.0008752223425899673
0.75,float,5.4015164325e-05,2.544155472018452e-05,0.0001540326554791335,0.0008475408482487005,0.0010270150584480186,0.0010810302227730185
1.0,float,6.6190440975e-05,3.323154379253638e-05,0.00019928319325444207,0.0010652213369465278,0.0012977360739935063,0.0013639265149685063
1.5,float,0.00010218157954499999,5.680905230611681e-05,0.0003304640167812598,0.0017088892557194618,0.0020961623248068385,0.0021983439043518384
2.0,float,0.00015694392449999998,9.554334214851879e-05,0.0005364683581386416,0.0026699002555913617,0.003301911955878522,0.003458855880378522
3.0,float,0.0003355461333,0.00025166126472592616,0.0012828842045395224,0.005718545215295166,0.007253090684560614,0.0075886368178606145
0.0,managed,1.838899326e-05,7.2917250596050665e-06,6.450983653206431e-05,0.0004108549302702221,0.00048265649186189153,0.0005010454851218915
0.25,managed,2.3992412745e-05,8.54552321225776e-06,7.937716428569568e-05,0.0003825216963118519,0.0004704443838098053,0.0004944367965548053
0.5,managed,3.3059510205e-05,1.052290196135958e-05,9.238858166661903e-05,0.0003596644627048,0.0004625759463327786,0.0004956354565377786
0.75,managed,4.5981989685e-05,1.3258158900822046e-05,0.00010474257888665439,0.00034425235016625143,0.0004622530879537279,0.0005082350776387279
1.0,managed,6.337237900500001e-05,1.6820806595272444e-05,0.00011764739735329627,0.0003378902306596625,0.0004723584346082312,0.0005357308136132313
1.5,managed,0.000115216560975,2.6853706929013736e-05,0.00014957833137026904,0.0003576336629027628,0.0005340657012020456,0.0006492822621770455
2.0,managed,0.0001987894002,4.170198470927228e-05,0.00019600245685889395,0.00042832501446958326,0.0006660294560377495,0.0008648188562377495
3.0,managed,0.0005291183077499999,9.22051064168539e-05,0.0003567489273976615,0.0007615326326322762,0.0012104866664467916,0.0017396049741967914
0.0,peg,0.0006110006500499999,9.686755353597147e-05,0.0006211555000358099,0.0026043977709846833,0.0033224208245564647,0.003933421474606465
0.25,peg,0.0008475756672,0.0001122808350949187,0.0007678971087486349,0.002414350593843678,0.0032945285376872312,0.004142104204887231
0.5,peg,0.00114030202605,0.0001348095120593095,0.0008848788159465162,0.0022219277646766543,0.00324161609268248,0.00438191811873248
0.75,peg,0.0014858779299,0.0001632721335195277,0.0009743601581525362,0.0020318644937573124,0.003169496785429376,0.004655374715329376
1.0,peg,0.0018791162324999998,0.00019650902716128772,0.0010394078087924154,0.0018481210163562363,0.003084037852309939,0.0049631540848099395
1.5,peg,0.0027779848545,0.000273299861802926,0.0011104478397586672,0.0015114421460269885,0.0028951898475885816,0.005673174702088581
2.0,peg,0.0037676445000000003,0.00035919360592852106,0.0011268808112244492,0.0012283519800035754,0.0027144263971565453,0.006482070897156546
3.0,peg,0.005791060273499999,0.0005548883561764302,0.0010954744811070359,0.0008451630350006422,0.002495525872284108,0.008286586145784107
