theta,regime,welfare_total_x1e4
0.0,float,11.510501051281254
0.0,peg,8.813083070854494
0.0,managed,4.363472936650001
0.25,float,11.228722751703945
0.25,peg,8.756567091829151
0.25,managed,4.3131940105030475
0.5,float,10.961890927021283
0.5,peg,8.713240123328116
0.5,managed,4.267242608960164
0.75,float,10.710683858677749
0.75,peg,8.684539329916861
0.75,managed,4.22577613576285
1.0,float,10.475924794610641
1.0,peg,8.672301360870398
1.0,managed,4.189021407929352
1.25,float,10.258614990705988
1.25,peg,8.678869173995716
1.25,managed,4.157290041986311
1.5,float,10.059973531397276
1.5,peg,8.707233350591261
1.5,managed,4.130997511347162
