rp_scale,regime,total
0.0,float,22.77661109188648
0.5,float,23.37042390603938
1.0,float,25.151862391972106
1.5,float,28.12092650630601
2.0,float,32.27761627790889
3.0,float,44.1538727621623
0.0,managed,9.710350240239414
0.5,managed,10.022354111188402
1.0,managed,10.958365728008463
1.5,managed,12.518385086399746
2.0,managed,14.702412188483923
3.0,managed,20.94248962432034
0.0,peg,21.64458916986013
0.5,peg,38.84477981806979
1.0,peg,90.44535179185505
1.5,peg,176.44630506725457
2.0,peg,296.8476396324648
3.0,peg,640.8514527197485
