rho,rho_rp,regime,piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,I,BSTAR
0.000000,0.000000,float, 9.90802466e-06,1.245862702e-05,7.414491153e-06,7.149151969e-07,2.858491904e-05,1.838784494e-05,0.0001411815453,2.757683425e-05,1.015119266e-05,2.458343674e-05, 0.001481239237
0.000000,0.000000,peg, 6.08124127e-06,7.964981366e-06,0.0005601549103,1.149522286e-06,2.782268248e-05,0.0005051977885,0.0003195093124,2.042073116e-05,6.297730686e-06,0.0001008659236, 0.001161269338
0.000000,0.400000,peg,6.321762828e-06,8.687314922e-06,0.0008061666185,1.962812014e-06,3.363018733e-05,0.0007070572544,0.0004752480323,2.230883614e-05,6.487817006e-06,0.0001173438305, 0.001679478954
0.000000,0.400000,managed,4.195586594e-06,5.783034768e-06,5.273074036e-05,8.229515169e-07,2.445196677e-05,7.793148056e-05,9.086649819e-05,1.766755311e-05,4.548091902e-06,1.719917894e-05, 0.001571174313
0.000000,0.800000,float,1.224229014e-05,2.742025865e-05,3.206248352e-05,2.216670576e-06,4.166992248e-05,2.778364296e-05,0.0001979451935,3.840398662e-05,1.224081882e-05,3.621043363e-05,  0.01363629186
0.000000,0.800000,peg,1.198124961e-05,1.954285019e-05,  0.00340124031,1.207749335e-05,7.775779825e-05, 0.002998060531, 0.001590068469,5.505253633e-05,1.122568388e-05,0.0002332780883,  0.02265871915
0.000000,0.800000,managed,4.316662793e-06,8.963508604e-06,0.0001608902577,3.770394489e-06,2.523920363e-05,0.0002520501135,9.436494308e-05,1.796882609e-05,4.676186814e-06,4.046839384e-05,  0.01596505463
0.000000,0.950000,float,7.141430276e-05,0.0001438549886,0.0001148363981,1.916020013e-05, 7.98358944e-05,0.0001725659022,0.0004024957905,0.0001649073729,6.893384234e-05,0.0001222787413,   0.5414662247
0.000000,0.950000,peg,6.767753682e-05,9.761903221e-05,  0.01622133412,7.424062563e-05, 0.000228204726,  0.01529558175, 0.005570831926,0.0002676365386,6.094491485e-05,0.0004480551107,   0.6787008175
0.000000,0.950000,managed,6.147835862e-06,1.737806262e-05, 0.001534075498,3.298619018e-05,2.671971432e-05, 0.002165161149,0.0001657906848,1.807020948e-05,6.653579361e-06,8.616101831e-05,   0.5956194931
1.000000,0.000000,float,1.391508589e-05,1.625012775e-05,1.739663005e-05,3.759460864e-06,3.915106233e-05,2.932216874e-05,0.0001297842734,3.132290893e-05,1.400110792e-05,3.246347663e-05,  0.00192968982
1.000000,0.000000,peg,6.010395991e-06,7.426281368e-06,0.0009582913498,3.574168129e-06,6.275278714e-05,0.0006669853996,0.0001832246178, 1.83002398e-05,6.272551205e-06,0.0001011624391, 0.001490000223
1.000000,0.000000,managed,4.348029536e-06,5.335493875e-06,9.410416583e-05,3.672070599e-06,3.691492378e-05,8.119902055e-05,9.796434896e-05,1.752402932e-05,4.642107445e-06,1.635326409e-05, 0.001748247273
1.000000,0.400000,float,1.394160239e-05,1.711782328e-05,2.512732183e-05,4.304702284e-06,4.149263188e-05,2.973915845e-05,0.0001315199503,3.156817178e-05,1.402097062e-05,3.499993311e-05, 0.002169262145
1.000000,0.400000,peg,6.239708731e-06,7.901194783e-06,  0.00128141652,4.604397427e-06,7.668088746e-05, 0.000899616198,0.0002505762457,1.938105045e-05,6.462493631e-06,0.0001178965887, 0.001940974741
1.000000,0.400000,managed,4.356962766e-06,5.751634819e-06,9.321284552e-05,4.286716177e-06,3.723544598e-05,8.515566216e-05,9.732078791e-05,1.758231508e-05,4.650409802e-06,2.153105292e-05, 0.002018981264
1.000000,0.800000,float,1.473477741e-05,2.483292119e-05,6.536078843e-05,1.301260672e-05,5.805714762e-05,3.756796157e-05,0.0001409452745,3.606262008e-05,1.469020329e-05,5.086540401e-05,  0.01495919885
1.000000,0.800000,peg,1.201116525e-05,1.630387533e-05, 0.004667896417,2.026967337e-05,0.0001982407615, 0.003515884668,0.0007571129233,3.992920835e-05,1.149400425e-05,0.0002365929929,   0.0209934866
1.000000,0.800000,managed,4.544861013e-06,8.240454286e-06,0.0001529127088, 1.44272851e-05,3.762364863e-05,0.0002312086629,0.0001002461547,1.785548228e-05,4.857321352e-06,4.953137728e-05,  0.01628165552
1.000000,0.950000,float,3.140974683e-05,7.240530761e-05,0.0001486098849,9.593147402e-05,0.0001124877689,0.0001768219079,0.0001819057636, 7.99486909e-05, 3.02794158e-05,0.0001089791453,   0.5589518217
1.000000,0.950000,peg,7.164558997e-05,8.528613676e-05,  0.02100670312,0.0001418421736,0.0006723221115,  0.01724209186, 0.002674928951,0.0001862024772,6.642316827e-05,0.0004636386845,   0.6510383684
1.000000,0.950000,managed,7.886836084e-06,1.548078161e-05, 0.001085009331,0.0001086559627,3.689975117e-05, 0.001866673654,0.0001420839229,1.844962472e-05,8.511398696e-06,0.0001042741654,   0.5898758558
0.000000,0.000000,managed,4.187585081e-06,5.244234089e-06,5.105463288e-05,6.727369748e-07, 2.42030436e-05,7.206214557e-05,9.244628872e-05,1.758757026e-05,4.541266487e-06,1.298031907e-05, 0.001304710867
0.000000,0.400000,float,9.967317325e-06,1.379047924e-05, 1.10554426e-05,7.858891208e-07,3.014262469e-05,1.878949131e-05,0.0001491463018, 2.80577103e-05, 1.02001583e-05,2.591978372e-05, 0.001698740327
