rho,rho_rp,regime,total
0.0,0.0,float,15.188607851734574
0.0,0.4,float,15.345050789577591
0.0,0.8,float,19.081349622875308
0.0,0.95,float,102.22560154123784
1.0,0.0,float,23.01625844972621
1.0,0.4,float,23.18658218646709
1.0,0.8,float,25.200210604417137
1.0,0.95,float,52.71434237542819
0.0,0.0,managed,7.938534344800543
0.0,0.4,managed,7.978527266976018
0.0,0.8,managed,9.78765747753465
0.0,0.95,managed,32.903724948264575
1.0,0.0,managed,9.741008325480253
1.0,0.4,managed,9.745132371415776
1.0,0.8,managed,10.956933200968159
1.0,0.95,managed,30.067360782952118
0.0,0.0,peg,18.056736802594358
0.0,0.4,peg,22.16190684137133
0.0,0.8,peg,69.87871192859555
0.0,0.95,peg,342.75197568535043
1.0,0.0,peg,25.070874224973902
1.0,0.4,peg,30.320134469615382
1.0,0.8,peg,90.45473324926958
1.0,0.95,peg,427.8194740703414
