regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,0.002468336071,1.721588241,54.66885376,1.669636823,0.106399505,0.4409606362,41.3900927
float,PIC,0.2149523765,2.117871204,14.26304381,2.462252481,0.4735790776,0.751726186,79.71657487
float,y_gap,0.001384565535,0.743593724,1.616737823,2.577637333,1.535294685,1.500021557,92.02533031
float,y_gap1,3.5386112,3.951237781,54.24044786,0.7955258422,3.819387977,5.36576264,28.2890267
float,y_gap2,0.002497854491,40.76027604,49.17440803,0.1865820391,0.8155230558,1.158073692,7.902639283
float,y_gap3,0.0008564574812,4.41201331,18.4296533,2.147753559,0.6377045405,0.5185810832,73.85343775
float,PI1,55.53749242,0.414679356,20.57059899,0.4707114836,0.04881397322,0.1129988334,22.84470494
float,PI2,0.001342500116,44.25155008,19.62485152,1.119278237,0.1632901886,0.4000533257,34.43963415
float,PI3,0.002183151116,0.9233274044,58.82395278,1.57484736,0.0902810677,0.4001435848,38.18526465
float,I,0.0005319186555,1.385774753,24.52050226,2.354553702,0.1721748164,0.04783031934,71.51863223
float,BSTAR,0.001562656838,0.1534614924,1.125889998,4.838420342,0.8219318948,1.079520509,91.97921311
peg,piDC,0.003018115125,0.1284784574,10.90194619,11.42285735,1.34913509,1.961618318,74.23294648
peg,PIC,0.08856846035,0.8034075942,3.849867138,20.6007595,0.9604842368,1.326699844,72.37021322
peg,y_gap,0.00203175716,0.1965168013,4.614292473,7.347705196,1.603953027,1.945727919,84.28977283
peg,y_gap1,0.1001721148,0.1915720577,7.578381259,4.468079664,0.3258905092,0.4328411847,86.90306321
peg,y_gap2,0.002050691409,14.52464263,7.55394883,4.54635614,1.293414668,1.495803695,70.58378335
peg,y_gap3,0.002442056806,0.2075504773,9.265457779,7.513975629,1.449057765,1.780622042,79.78089425
peg,PI1,2.407367823,0.0257705522,0.8370686554,4.58411764,0.6173749231,0.7291601265,90.79914028
peg,PI2,0.00171332268,7.924085526,0.7490203308,9.293651991,0.932297154,1.241910088,79.85732159
peg,PI3,0.003404323378,0.1482005922,13.9392791,11.54407935,1.394863532,2.053060923,70.91711219
peg,I,5.815946472e-05,0.005776219121,0.04248691437,0.1792395402,0.0304288171,0.04004316573,99.70196718
peg,BSTAR,0.001547187879,0.1536619405,1.130258665,4.768222082,0.8094829829,1.065248811,92.07157833
managed,piDC,0.004009003073,0.5299755782,39.31456101,23.73886071,1.703280221,2.519832638,32.18948084
managed,PIC,0.6064007445,4.288517456,8.994597665,33.1689569,0.7125936059,1.01113027,51.21780336
managed,y_gap,0.01277956029,1.729066046,17.49149081,33.61260786,9.645856466,11.62038988,25.88780938
managed,y_gap1,0.9301859787,1.024862338,28.63744594,6.330573886,0.04468766953,0.02453296414,63.00771122
managed,y_gap2,0.003203754849,47.37891868,44.40296926,1.984802568,1.428012363,1.757854072,3.044239306
managed,y_gap3,0.008499973741,4.306497865,47.26917913,22.08505911,4.568267686,5.489218672,16.27327756
managed,PI1,40.79894906,0.07708759225,2.483928023,8.079678427,0.5637318249,0.6257668752,47.3708582
managed,PI2,0.001342901985,60.8845695,2.745163295,17.58097882,0.7091284533,0.9431215656,17.13569546
managed,PI3,0.004061926315,0.201335719,45.66839411,20.91271172,1.582499738,2.361358388,29.2696384
managed,I,0.0002556252658,0.3227878395,4.831692963,2.384992701,0.3168893646,0.3189489542,91.82443255
managed,BSTAR,0.001562252811,0.1537621634,1.126036601,4.827760189,0.8198887878,1.077784761,91.99320524
